nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
NIMENRIX,-,VACCIN LYOPHILISE,VACCIN ( NEISSERIA MENINGITIDIS ACYW CONJUGE ),VACCINS,GSK,AMM sans prix,AMM ENREGISTREE,BOITE DE 10 FLACONS ET 10 AMPOULES,VACCIN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,301
NIMENRIX,-,VACCIN LYOPHILISE,VACCIN ( NEISSERIA MENINGITIDIS ACYW CONJUGE ),VACCINS,GSK,AMM sans prix,AMM ENREGISTREE,BOITE DE 100 FLACONS ET 100 AMPOULES,VACCIN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,301
NIMOTOP,10   MG  /  50  ML,SOLUTION INJECTABLE POUR PERFUSION,NIMODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,BAYER,Commercialisé AO,AMM ENREGISTREE,FLACON DE 50 ML,PP,"181,10 DH","113,20 DH","107,80 DH",0%,-,301
NITRODERM TTS,10   MG,PATCH TRANSDERMIQUE,TRINITRINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,NOVARTIS PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"90,00 DH","56,30 DH","53,60 DH",0%,-,301
NITRODERM TTS,5   MG,PATCH TRANSDERMIQUE,TRINITRINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,NOVARTIS PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"68,50 DH","42,80 DH","40,76 DH",0%,-,301
NITROGLICERINE PH&T,25   MG  /  5  ML,CONCENTRE POUR SOLUTION INJECTABLE,TRINITRINE,NA,PROMOPHARM,Retiré du Marché,AMM RETIREE,BOITE DE 50 AMPOULES,GN,1.611.00 DH,1.350.00 DH,1.285.71 DH,0%,-,301
NITROGLICERINE PH&T,5   MG  /   ML,CONCENTRE POUR SOLUTION INJECTABLE,TRINITRINE,NA,PROMOPHARM,Retiré du Marché,AMM RETIREE,BOITE DE 50 AMPOULES,GN,"662,00 DH","440,00 DH","419,05 DH",0%,-,301
NIVAQUINE,100   MG,COMPRIME,CHLOROQUINE (SULFATE),INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"11,20 DH","7,00 DH","6,68 DH",0%,-,301
NIVESTIM,12 MU,SOULUTION POUR INJECTION OU PERFUSION,FILGRASTIM,HEMATOLOGIE,PFIZER,Non Commercialisé,AMM ENREGISTREE,"BOITE DE 5 SERINGUES PRE-REMPLIES DE 0,2 ML",PP,"868,00 DH","577,00 DH","549,70 DH",0%,-,301
NIVESTIM,"30 MU  /  0,5  ML",SOULUTION POUR INJECTION OU PERFUSION,FILGRASTIM,HEMATOLOGIE,PFIZER,Commercialisé,AMM ENREGISTREE,"BOITE DE 5 SERINGUES PRE-REMPLIES DE 0,5 ML",PP,1.116.00 DH,"840,00 DH","800,00 DH",0%,-,301
NIVESTIM,"48 MU  /  0,5  ML",SOULUTION POUR INJECTION OU PERFUSION,FILGRASTIM,HEMATOLOGIE,PFIZER,Commercialisé,AMM ENREGISTREE,"BOITE DE 5 SERINGUES PRE-REMPLIES DE 0,5 ML",PP,1.728.00 DH,1.470.00 DH,1.400.00 DH,0%,-,301
NO-DEP,50   MG,COMPRIME,SERTRALINE (CHLORHYDRATE),PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 15,GN,"66,40 DH","41,50 DH","39,50 DH",0%,-,301
NO-DEP,50   MG,COMPRIME,SERTRALINE (CHLORHYDRATE),PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"118,50 DH","74,10 DH","70,54 DH",0%,-,301
NO-DEP,50   MG,COMPRIME,SERTRALINE (CHLORHYDRATE),PSYCHIATRIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE DE 60,GN,"188,00 DH","117,50 DH","111,94 DH",0%,-,301
NO-DOL CODEINE,500   MG  /  30   MG,COMPRIME,PARACETAMOL // CODEINE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"26,20 DH","16,30 DH","15,58 DH",0%,-,301
NO-DOL FEN,20   MG  /   ML,SUSPENSION ORALE,IBUPROFENE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MAPHAR,Commercialisé,AMM ENREGISTREE,FLACON DE 150 ML,GN,"21,00 DH","13,10 DH","12,52 DH",0%,-,301
NO-DOL FEN,200   MG,COMPRIME PELLICULE,IBUPROFENE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"21,90 DH","13,70 DH","13,07 DH",0%,-,301
NO-DOL FEN,400   MG,COMPRIME PELLICULE,IBUPROFENE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"28,00 DH","17,50 DH","16,69 DH",0%,-,301
NO-DOL FEN,600   MG,COMPRIME PELLICULE,IBUPROFENE,NA,SANOFI AVENTIS,Retiré du Marché,AMM RETIREE,-,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,301
NO-DOL PEDIATRIQUE,120   MG  /  5  ML,SUSPENSION BUVABLE,PARACETAMOL,NA,SANOFI AVENTIS,Retiré du Marché,AMM RETIREE,FLACON DE 90 ML,GN,"17,00 DH","10,60 DH","9,46 DH",0%,-,301
NO-FLAM,100   MG,SUPPOSITOIRE,DICLOFENAC (SODIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SOTHEMA,Commercialisé Export,AMM ENREGISTREE,BOITE DE 10,GN,"28,00 DH","17,50 DH","16,69 DH",0%,-,302
NO-SPA,40   MG  /  2  ML,SOLUTION INJECTABLE,DROTAVERINE,GASTROENTEROLOGIE-HEPATOLOGIE,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 5 AMPOULES DE 2 ML,PP,"29,90 DH","18,70 DH","17,83 DH",0%,-,302
NO-SPA,40   MG,COMPRIME,DROTAVERINE,GASTROENTEROLOGIE-HEPATOLOGIE,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"29,90 DH","18,70 DH","17,83 DH",0%,-,302
NO-SPA FORTE,80   MG,COMPRIME,DROTAVERINE,GASTROENTEROLOGIE-HEPATOLOGIE,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"42,00 DH","26,30 DH","25,03 DH",0%,-,302
NOCAND,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,BOTTU,Commercialisé,AMM ENREGISTREE,BOITE DE 1,GN,"13,40 DH","8,40 DH","8,01 DH",0%,-,302
NOCAND,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,BOTTU,Commercialisé,AMM ENREGISTREE,BOITE DE 4,GN,"46,70 DH","29,20 DH","27,81 DH",0%,-,302
NOCAND,200   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,BOTTU,Commercialisé,AMM ENREGISTREE,BOITE DE 7,GN,"91,60 DH","57,20 DH","54,52 DH",0%,-,302
NOCAND,50   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,BOTTU,Commercialisé,AMM ENREGISTREE,BOITE DE 7,GN,"32,70 DH","20,40 DH","19,47 DH",0%,-,302
NOCDURNA,25 µg,LYOPHYLISAT ORAL,DESMOPRESSINE (ACETATE),ENDOCRINOLOGIE-METABOLISME,SOTHEMA,AMM sans prix,AMM ENREGISTREE,BOITE DE 30,PP,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,302
NOCDURNA,50 µg,LYOPHYLISAT ORAL,DESMOPRESSINE (ACETATE),ENDOCRINOLOGIE-METABOLISME,SOTHEMA,AMM sans prix,AMM ENREGISTREE,BOITE DE 30,PP,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,302
NOCIDOL,1000   MG,COMPRIME EFFERVESCENT,PARACETAMOL,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MC PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 8,GN,"13,50 DH","8,50 DH","8,07 DH",0%,-,302
NOCIDOL,500   MG,COMPRIME EFFERVESCENT,PARACETAMOL,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MC PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 16,GN,"13,10 DH","8,20 DH","7,79 DH",0%,-,302
NOCOL,20   MG,COMPRIME PELLICULE,SIMVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"94,30 DH","58,90 DH","56,11 DH",0%,-,302
NOCOL,20   MG,COMPRIME PELLICULE,SIMVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 60,GN,"182,10 DH","113,80 DH","108,41 DH",0%,-,302
NOCOL,40   MG,COMPRIME PELLICULE,SIMVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"171,00 DH","106,90 DH","101,78 DH",0%,-,302
NOCOL,40   MG,COMPRIME PELLICULE,SIMVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 60,GN,"283,00 DH","188,10 DH","179,14 DH",0%,-,302
NOCTIZEN,10   MG,COMPRIME,ZOLPIDEM (TARTRATE),PSYCHIATRIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"23,50 DH","14,70 DH","14,00 DH",0%,-,302
NOCTIZEN,10   MG,COMPRIME,ZOLPIDEM (TARTRATE),PSYCHIATRIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"42,00 DH","26,20 DH","25,00 DH",0%,-,302
NOFEBRIL,500   MG,COMPRIME,PARACETAMOL,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,GENPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"6,50 DH","4,10 DH","3,89 DH",0%,-,302
NOFENE,100   MG,COMPRIME PELLICULE,KETOPROFENE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,NOVOPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"46,40 DH","29,00 DH","27,60 DH",0%,-,302
NOFENE,100   MG,SUPPOSITOIRE,KETOPROFENE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,NOVOPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"27,40 DH","17,10 DH","16,30 DH",0%,-,303
NOFLOXINE,400   MG,COMPRIME,NORFLOXACINE,NA,PHI,Retiré du Marché,AMM RETIREE,BOITE DE 10,GN,"78,00 DH","48,60 DH","43,39 DH",0%,-,303
NOGESTA,"0,03   MG",COMPRIME PELLICULE,LEVONORGESTREL,GYNECOLOGIE-OBSTETRIQUE-CONTRACEPTION,VIATRIS PHARMACEUTICALS,Commercialisé AO,AMM ENREGISTREE,BOITE DE 3 PLAQUETTES DE 28,GN,"28,40 DH","17,70 DH","16,90 DH",0%,-,303
NOLIP,5  MG,COMPRIMES PELLICULES,ROSUVASTATINE (CALCIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"35,30 DH","22,00 DH","20,99 DH",0%,-,303
NOLIP,5  MG,COMPRIMES PELLICULES,ROSUVASTATINE (CALCIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"90,90 DH","56,80 DH","54,11 DH",0%,-,303
NOLIP (Ex nom : TORSTINE),10   MG,COMPRIME PELLICULE,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé AO,AMM ENREGISTREE,BOITE DE 10,GN,"59,70 DH","37,30 DH","35,55 DH",0%,-,303
NOLIP (Ex nom : TORSTINE),10   MG,COMPRIME PELLICULE,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"154,10 DH","96,30 DH","91,71 DH",0%,-,303
NOLIP (Ex nom : TORSTINE),20   MG,COMPRIME PELLICULE,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"96,50 DH","60,30 DH","57,47 DH",0%,-,303
NOLIP (Ex nom : TORSTINE),20   MG,COMPRIME PELLICULE,ROSUVASTATINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"250,00 DH","156,30 DH","148,85 DH",0%,-,303
NOLVADEX,20   MG,COMPRIME ENROBE,TAMOXIFENE,CANCEROLOGIE,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"124,30 DH","77,70 DH","73,99 DH",0%,-,303
NOMADOL,100   MG  /  2  ML,SOLUTION INJECTABLE,TRAMADOL (CHLORHYDRATE),NA,NOVOPHARMA,Retiré du Marché,AMM RETIREE,BOITE DE 5 AMPOULES DE 2 ML,GN,"37,50 DH","23,40 DH","20,86 DH",0%,-,303
NOMADOL,50   MG,COMPRIME PELLICULE,TRAMADOL (CHLORHYDRATE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,NOVOPHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"39,30 DH","24,60 DH","23,42 DH",0%,-,303
NOMYC,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1,GN,"22,40 DH","14,00 DH","13,35 DH",0%,-,303
NOMYC,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 2,GN,"39,50 DH","24,70 DH","23,49 DH",0%,-,303
NOMYC,150   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 4,GN,"72,90 DH","45,50 DH","43,39 DH",0%,-,303
NOMYC,50   MG,GELULE,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE,AFRIC PHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 7,GN,"78,30 DH","48,90 DH","46,59 DH",0%,-,303
NONAN,-,SOLUTION INJECTABLE POUR PERFUSION,FER (GLUCONATE) // ZINC (GLUCONATE DE)  // CUIVRE (GLUCONATE DE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,HEMOLAB PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 25 FLACONS DE 40 ML,GN,1.023.00 DH,"744,00 DH","708,90 DH",0%,-,303
NOOTROPYL,1 G  /  5  ML,INJECTABLE,PIRACETAM,NEUROLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 12 AMPOULES,PP,"60,90 DH","38,10 DH","36,27 DH",0%,-,303
NOOTROPYL,200   MG  /   ML,SOLUTION BUVABLE,PIRACETAM,NEUROLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,FLACON DE 125 ML,PP,"52,40 DH","32,70 DH","31,19 DH",0%,-,303
NOOTROPYL,800   MG,COMPRIME PELLICULE,PIRACETAM,NEUROLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 60,PP,"125,90 DH","78,70 DH","74,97 DH",0%,-,303
NOOTROPYL,"1,2 G  /  6  ML",SOLUTION BUVABLE,PIRACETAM,NEUROLOGIE,SOTHEMA,AMM sans prix,AMM ENREGISTREE,BOITE DE 30 AMPOULES,PP,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,304
NOPOROSE,35   MG,COMPRIME PELLICULE,RISEDRONATE (MONOSODIQUE),RHUMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"464,00 DH","308,00 DH","294,04 DH",0%,-,304
NOPOROSE,35   MG,COMPRIME PELLICULE,RISEDRONATE (MONOSODIQUE),RHUMATOLOGIE,AFRIC PHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 4,GN,"181,90 DH","113,70 DH","108,26 DH",0%,-,304
NORADRENALINE TARTRATE AGUETTANT,0.002,SOLUTE INJECTABLE,NORADRENALINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,HEMOLAB PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10 AMPOULES DE 4 ML,GN,"756,00 DH","503,00 DH","479,05 DH",0%,-,304
NORCURON,4   MG,POUDRE LYOPHILISEE POUR SOLUTION INJECTABLE,VECURONIUM (BROMURE),NA,MSD,Retiré du Marché,AMM RETIREE,BOITE DE 10 AMPOULES,PP,"132,00 DH","82,20 DH","73,43 DH",0%,-,304
NORDAZ,15   MG,COMPRIME QUADRISECABLE,NORDAZEPAM,PSYCHIATRIE,PROMOPHARM,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"27,20 DH","17,00 DH","16,19 DH",0%,-,304
NORDAZ,"7,5   MG",COMPRIME SECABLE,NORDAZEPAM,PSYCHIATRIE,PROMOPHARM,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"18,20 DH","11,40 DH","10,82 DH",0%,-,304
NORDITROPINE NORDIFLEX,"5  MG / 1,5 ML",SOLUTION INJECTABLE EN STYLO PRE REMPLI,SOMATROPINE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE UNITAIRE,PP,1.193.00 DH,"919,00 DH","875,51 DH",0%,-,304
NORDITROPINE NORDIFLEX,"10   MG  /  1,5  ML",SOLUTION INJECTABLE EN STYLO PRE REMPLI,SOMATROPINE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE UNITAIRE,PP,2.086.00 DH,1.838.00 DH,1.751.02 DH,0%,-,304
NORDITROPINE NORDIFLEX,"15   MG  /  1,5  ML",SOLUTION INJECTABLE EN STYLO PRE REMPLI,SOMATROPINE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE UNITAIRE,PP,3.079.00 DH,2.757.00 DH,2.626.53 DH,0%,-,304
NORDITROPINE NORDIFLEX,25   MG  / 1.5  ML,SOLUTION INJEVTABLE EN STYLO PRE REMPLI,SOMATROPINE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,AMM sans prix,AMM ENREGISTREE,BOITE UNITAIRE,PP,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,304
NORDITROPINE NORDILET,"5   MG  /  1,5  ML",SOLUTE INJECTABLE,SOMATROPINE,ENDOCRINOLOGIE-METABOLISME,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1 STYLO PRE/REMPLI,PP,1.193.00 DH,"919,00 DH","875,51 DH",0%,-,304
NORLEVO,"1,5   MG",COMPRIME,LEVONORGESTREL,GYNECOLOGIE-OBSTETRIQUE-CONTRACEPTION,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1,PP,"61,70 DH","38,50 DH","36,71 DH",0%,-,304
NORMACIDE,150   MG,COMPRIME,RANITIDINE,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 20,GN,"76,20 DH","47,60 DH","45,34 DH",0%,-,304
NORMACIDE,300   MG,COMPRIME,RANITIDINE,GASTROENTEROLOGIE-HEPATOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 20,GN,"114,40 DH","71,50 DH","68,09 DH",0%,-,304
NORMACOL LAVEMENT ADULTES,"23,66 G  /  10,40 G",SOLUTION RECTALE,GOMME DE STERCULIA // ELECTROLYTES,GASTROENTEROLOGIE-HEPATOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,FLACON DE 130 ML,PP,"24,80 DH","15,50 DH","14,74 DH",0%,-,304
NORMACOL LAVEMENT ENFANTS,"10,92 G  /  4,80 G",SOLUTION RECTALE,GOMME DE STERCULIA // ELECTROLYTES,GASTROENTEROLOGIE-HEPATOLOGIE,COOPER PHARMA,Non Commercialisé,AMM ENREGISTREE,FLACON DE 60 ML,PP,"19,60 DH","12,30 DH","11,68 DH",0%,-,304
NORMATENS,100   MG,COMPRIME,ATENOLOL,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SPIMACO MAROC,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"39,50 DH","24,70 DH","23,51 DH",0%,-,304
NORMATENS,100   MG,COMPRIME,ATENOLOL,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SPIMACO MAROC,Non Commercialisé,AMM ENREGISTREE,BOITE DE 60,GN,"76,50 DH","47,80 DH","45,54 DH",0%,-,304
NORMATENS,50   MG,COMPRIME,ATENOLOL,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SPIMACO MAROC,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"26,00 DH","16,20 DH","15,48 DH",0%,-,304
NORMET,100   MG,COMPRIME SECABLE,ATENOLOL,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,GENPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"56,30 DH","35,20 DH","33,49 DH",0%,-,305
NORMIX,200   MG,COMPRIME PELLICULE,RIFAXIMINE,GASTROENTEROLOGIE-HEPATOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 12,PP,"66,90 DH","41,80 DH","39,83 DH",0%,-,305
NORMOGASTRYL,-,COMPRIME EFFERVESCENT,BICARBONATE DE SODIUM // SULFATE DE SODIUM // HYDROGENOPHOSPHATE (DE SODIUM),GASTROENTEROLOGIE-HEPATOLOGIE,LAPROPHAN,Commercialisé,AMM ENREGISTREE,BOITE DE 1 TUBE DE 20 G,GN,"11,20 DH","7,00 DH","6,68 DH",0%,-,305
NOROXINE,400   MG,COMPRIME,NORFLOXACINE,NA,MSD,Retiré du Marché,AMM RETIREE,BOITE DE 10,PP,"104,70 DH","65,20 DH","58,24 DH",0%,-,305
NORTEUS,10   MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 14,GN,"30,20 DH","18,90 DH","18,00 DH",0%,-,305
NORTEUS,10   MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 28,GN,"53,20 DH","33,30 DH","31,68 DH",0%,-,305
NORTEUS,5   MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 14,GN,"23,40 DH","14,60 DH","13,93 DH",0%,-,305
NORTEUS,5   MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMED,Commercialisé AO,AMM ENREGISTREE,BOITE DE 28,GN,"41,20 DH","25,70 DH","24,51 DH",0%,-,305
NORTEUS,10   MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 56,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,305
NORTEUS,5   MG,COMPRIME,AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMED,AMM sans prix,AMM ENREGISTREE,BOITE DE 56,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,305
NORVIR,100   MG,COMPRIME PELLICULE,RITONAVIR,INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,AMM sans prix,AMM ENREGISTREE,BOITE DE 60,PP,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,305
NOVALGINE,1 G,SUPPOSITOIRE,METAMIZOLE (SODIQUE),NA,MAPHAR,Retiré du Marché,AMM RETIREE,BOITE DE 5,GN,"9,20 DH","5,70 DH","5,12 DH",0%,-,305
NOVALGINE,"2,5 G  /  5  ML",SOLUTION INJECTABLE,METAMIZOLE (SODIQUE),NA,MAPHAR,Retiré du Marché,AMM RETIREE,BOITE DE 5 AMPOULES,NA,"30,00 DH","18,70 DH","16,69 DH",0%,-,305
NOVALGINE,0.05,SIROP,METAMIZOLE (SODIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SANOFI AVENTIS,Non Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON DE 100 ML,GN,"20,70 DH","13,00 DH","12,35 DH",0%,-,305
NOVALGINE,500   MG,COMPRIME PELLICULE,METAMIZOLE (SODIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SANOFI AVENTIS,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"12,90 DH","8,10 DH","7,68 DH",0%,-,305
NOVEX,10000 UI ANTI XA  /  1  ML,SOLUTION INJECTABLE,ENOXAPARINE (SODIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Commercialisé AO,AMM ENREGISTREE,BOITE DE 2 SERINGUES PRE-REMPLIES,BS,"212,00 DH","132,50 DH","126,19 DH",0%,-,305
NOVEX,"2000 UI ANTI XA  /  0,2  ML",SOLUTION INJECTABLE,ENOXAPARINE (SODIQUE),CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Commercialisé,AMM ENREGISTREE,BOITE DE 2 SERINGUES PRE-REMPLIES,BS,"66,00 DH","41,20 DH","39,29 DH",0%,-,305
